id,xmin,xmax,ymin,ymax
0,-43.845909823800000,-43.833909823799900,-22.664304828900000,-22.652304828900000
1,-43.833909823799900,-43.821909823799900,-22.664304828900000,-22.652304828900000
2,-43.821909823799900,-43.809909823799900,-22.664304828900000,-22.652304828900000
3,-43.809909823799900,-43.797909823799900,-22.664304828900000,-22.652304828900000
4,-43.797909823799900,-43.785909823799900,-22.664304828900000,-22.652304828900000
5,-43.785909823799900,-43.773909823799900,-22.664304828900000,-22.652304828900000
6,-43.773909823799900,-43.761909823799900,-22.664304828900000,-22.652304828900000
7,-43.761909823799900,-43.749909823799900,-22.664304828900000,-22.652304828900000
8,-43.749909823799900,-43.737909823799900,-22.664304828900000,-22.652304828900000
9,-43.737909823799900,-43.725909823799900,-22.664304828900000,-22.652304828900000
10,-43.725909823799900,-43.713909823799900,-22.664304828900000,-22.652304828900000
11,-43.713909823799900,-43.701909823799900,-22.664304828900000,-22.652304828900000
12,-43.701909823799900,-43.689909823799900,-22.664304828900000,-22.652304828900000
13,-43.689909823799900,-43.677909823799900,-22.664304828900000,-22.652304828900000
14,-43.677909823799900,-43.665909823799900,-22.664304828900000,-22.652304828900000
15,-43.665909823799900,-43.653909823799900,-22.664304828900000,-22.652304828900000
16,-43.653909823799900,-43.641909823799900,-22.664304828900000,-22.652304828900000
17,-43.641909823799900,-43.629909823799900,-22.664304828900000,-22.652304828900000
18,-43.629909823799900,-43.617909823799900,-22.664304828900000,-22.652304828900000
19,-43.617909823799900,-43.605909823799900,-22.664304828900000,-22.652304828900000
20,-43.605909823799900,-43.593909823799900,-22.664304828900000,-22.652304828900000
21,-43.593909823799900,-43.581909823799900,-22.664304828900000,-22.652304828900000
22,-43.581909823799900,-43.569909823799900,-22.664304828900000,-22.652304828900000
23,-43.569909823799900,-43.557909823799900,-22.664304828900000,-22.652304828900000
24,-43.557909823799900,-43.545909823799900,-22.664304828900000,-22.652304828900000
25,-43.545909823799900,-43.533909823799900,-22.664304828900000,-22.652304828900000
26,-43.533909823799900,-43.521909823799900,-22.664304828900000,-22.652304828900000
27,-43.521909823799900,-43.509909823799900,-22.664304828900000,-22.652304828900000
28,-43.509909823799900,-43.497909823799900,-22.664304828900000,-22.652304828900000
29,-43.497909823799900,-43.485909823799900,-22.664304828900000,-22.652304828900000
30,-43.485909823799900,-43.473909823799900,-22.664304828900000,-22.652304828900000
31,-43.473909823799900,-43.461909823799900,-22.664304828900000,-22.652304828900000
32,-43.461909823799900,-43.449909823799900,-22.664304828900000,-22.652304828900000
33,-43.449909823799900,-43.437909823799900,-22.664304828900000,-22.652304828900000
34,-43.437909823799900,-43.425909823799900,-22.664304828900000,-22.652304828900000
35,-43.425909823799900,-43.413909823799900,-22.664304828900000,-22.652304828900000
36,-43.413909823799900,-43.401909823799900,-22.664304828900000,-22.652304828900000
37,-43.401909823799900,-43.389909823799900,-22.664304828900000,-22.652304828900000
38,-43.389909823799900,-43.377909823799900,-22.664304828900000,-22.652304828900000
39,-43.377909823799900,-43.365909823799900,-22.664304828900000,-22.652304828900000
40,-43.365909823799900,-43.353909823799900,-22.664304828900000,-22.652304828900000
41,-43.353909823799900,-43.341909823799900,-22.664304828900000,-22.652304828900000
42,-43.341909823799900,-43.329909823799900,-22.664304828900000,-22.652304828900000
43,-43.329909823799900,-43.317909823799900,-22.664304828900000,-22.652304828900000
44,-43.317909823799900,-43.305909823799900,-22.664304828900000,-22.652304828900000
45,-43.305909823799900,-43.293909823799900,-22.664304828900000,-22.652304828900000
46,-43.293909823799900,-43.281909823799900,-22.664304828900000,-22.652304828900000
47,-43.281909823799900,-43.269909823799900,-22.664304828900000,-22.652304828900000
48,-43.269909823799900,-43.257909823799900,-22.664304828900000,-22.652304828900000
49,-43.257909823799900,-43.245909823799900,-22.664304828900000,-22.652304828900000
50,-43.245909823799900,-43.233909823799900,-22.664304828900000,-22.652304828900000
51,-43.233909823799900,-43.221909823799900,-22.664304828900000,-22.652304828900000
52,-43.221909823799900,-43.209909823799900,-22.664304828900000,-22.652304828900000
53,-43.209909823799900,-43.197909823799900,-22.664304828900000,-22.652304828900000
54,-43.197909823799900,-43.185909823799900,-22.664304828900000,-22.652304828900000
55,-43.185909823799900,-43.173909823799900,-22.664304828900000,-22.652304828900000
56,-43.173909823799900,-43.161909823799900,-22.664304828900000,-22.652304828900000
57,-43.161909823799900,-43.149909823799900,-22.664304828900000,-22.652304828900000
58,-43.149909823799900,-43.137909823799900,-22.664304828900000,-22.652304828900000
59,-43.137909823799900,-43.125909823799900,-22.664304828900000,-22.652304828900000
60,-43.125909823799900,-43.113909823799900,-22.664304828900000,-22.652304828900000
